District,State ,Growth,Sex_Ratio,Literacy
Maharajganj,Uttar Pradesh,0.24,943,62.76
Fatehpur,Uttar Pradesh,0.14,901,67.43
Siddharth Nagar,Uttar Pradesh,0.25,976,59.25
Mathura,Uttar Pradesh,0.23,863,70.36
Firozabad,Uttar Pradesh,0.22,875,71.92
Mirzapur,Uttar Pradesh,0.18,903,68.48
Faizabad,Uttar Pradesh,0.18,962,68.73
Basti,Uttar Pradesh,0.18,963,67.22
Ambedkar Nagar,Uttar Pradesh,0.18,978,72.23
Rampur,Uttar Pradesh,0.21,909,53.34
Mau,Uttar Pradesh,0.19,979,73.09
Balrampur,Uttar Pradesh,0.28,928,49.51
Pilibhit,Uttar Pradesh,0.23,895,61.47
Jhansi,Uttar Pradesh,0.15,890,75.05
Chandauli,Uttar Pradesh,0.19,918,71.48
Farrukhabad,Uttar Pradesh,0.2,874,69.04
Mainpuri,Uttar Pradesh,0.17,881,75.99
Sonbhadra,Uttar Pradesh,0.27,918,64.03
Jyotiba Phule Nagar,Uttar Pradesh,0.23,910,63.84
Banda,Uttar Pradesh,0.17,863,66.67
Ramabai Nagar,Uttar Pradesh,0.15,865,75.78
Etah,Uttar Pradesh,0.14,873,70.81
Sant Kabir Nagar,Uttar Pradesh,0.21,972,66.72
Jalaun,Uttar Pradesh,0.16,865,73.75
Kannauj,Uttar Pradesh,0.19,879,72.7
Gautam Buddha Nagar,Uttar Pradesh,0.37,851,80.12
Kaushambi,Uttar Pradesh,0.24,908,61.28
Etawah,Uttar Pradesh,0.18,870,78.41
Sant Ravidas Nagar,Uttar Pradesh,0.17,955,68.97
Mahamaya Nagar,Uttar Pradesh,0.17,871,71.59
Kanshiram Nagar,Uttar Pradesh,0.17,880,61.02
Auraiya,Uttar Pradesh,0.17,864,78.95
Baghpat,Uttar Pradesh,0.12,861,72.01
Lalitpur,Uttar Pradesh,0.25,906,63.52
Shrawasti,Uttar Pradesh,-0.05,881,46.74
Hamirpur,Uttar Pradesh,0.06,861,68.77
Chitrakoot,Uttar Pradesh,0.29,879,65.05
Mahoba,Uttar Pradesh,0.24,878,65.27
Haridwar,Uttarakhand,0.31,880,73.43
Dehradun,Uttarakhand,0.32,902,84.25
Udham Singh Nagar,Uttarakhand,0.33,920,73.1
Nainital,Uttarakhand,0.25,934,83.88
Pauri Garhwal,Uttarakhand,-0.01,"1,103.00",82.02
Almora,Uttarakhand,-0.01,"1,139.00",80.47
Tehri Garhwal,Uttarakhand,0.02,"1,077.00",76.36
Pithoragarh,Uttarakhand,0.05,"1,020.00",82.25
Chamoli,Uttarakhand,0.06,"1,019.00",82.65
Uttarkashi,Uttarakhand,0.12,958,75.81
Bageshwar,Uttarakhand,0.04,"1,090.00",80.01
Champawat,Uttarakhand,0.16,980,79.83
Rudraprayag,Uttarakhand,0.07,"1,114.00",81.3
North Twenty Four Parganas,West Bengal,0.12,955,84.06
South Twenty Four Parganas,West Bengal,0.18,956,77.51
Barddhaman,West Bengal,0.12,945,76.21
Murshidabad,West Bengal,0.21,958,66.59
Paschim Medinipur,West Bengal,0.14,966,78
Hugli,West Bengal,0.09,961,81.8
Nadia,West Bengal,0.12,947,74.97
Purba Medinipur,West Bengal,0.15,938,87.02
Haora,West Bengal,0.14,939,83.31
Kolkata,West Bengal,-0.02,908,86.31
Maldah,West Bengal,0.21,944,61.73
Jalpaiguri,West Bengal,0.14,953,73.25
Bankura,West Bengal,0.13,957,70.26
Birbhum,West Bengal,0.16,956,70.68
Uttar Dinajpur,West Bengal,0.23,939,59.07
Puruliya,West Bengal,0.16,957,64.48
Koch Bihar,West Bengal,0.14,942,74.78
Darjiling,West Bengal,0.15,970,79.56
Dakshin Dinajpur,West Bengal,0.12,956,72.82
